Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte,
A01, 77.4 ,Roggendorf,961,gesamt,gesamt,Kfz,"60,589","61,181","57,874","59,894","66,512","62,277","57,392","58,1% Tage geschätzt",
A01, 77.4 ,Roggendorf,961,gesamt,gesamt,"Kfz > 3,5t hzG","9,177","12,469","13,558","13,130","10,096","4,094","1,041",Messung,
A01, 77.4 ,Roggendorf,961,gesamt,gesamt,"Kfz <= 3,5t hzG","51,412","48,712","44,316","46,764","56,416","58,183","56,351","58,1% Tage geschätzt",
A01, 95.3 ,Ybbs,431,Pöchlarn - Ybbs Wieselburg,Staatsgrenze Walserberg,Kfz,"29,939","28,562","28,500","27,900","30,322","32,420","33,102",Messung,
A01, 95.3 ,Ybbs,431,Pöchlarn - Ybbs Wieselburg,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,529","6,203","8,248","6,500","4,205","1,709",548,Messung,
A01, 95.3 ,Ybbs,431,Pöchlarn - Ybbs Wieselburg,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","25,410","22,359","20,252","21,400","26,117","30,711","32,554",Messung,
A01, 95.3 ,Ybbs,431,Ybbs Wieselburg - Pöchlarn,Wien/Auhof,Kfz,"25,910","27,669","23,312","27,376","31,044","25,179","20,243",Messung,
A01, 95.3 ,Ybbs,431,Ybbs Wieselburg - Pöchlarn,Wien/Auhof,"Kfz > 3,5t hzG","4,505","6,071","5,052","6,426","5,760","2,374",446,Messung,
A01, 95.3 ,Ybbs,431,Ybbs Wieselburg - Pöchlarn,Wien/Auhof,"Kfz <= 3,5t hzG","21,405","21,598","18,260","20,950","25,284","22,805","19,797",Messung,
A01, 95.3 ,Ybbs,431,gesamt,gesamt,Kfz,"55,849","56,231","51,812","55,276","61,366","57,599","53,345",Messung,
A01, 95.3 ,Ybbs,431,gesamt,gesamt,"Kfz > 3,5t hzG","9,034","12,274","13,300","12,926","9,965","4,083",994,Messung,
A01, 95.3 ,Ybbs,431,gesamt,gesamt,"Kfz <= 3,5t hzG","46,815","43,957","38,512","42,350","51,401","53,516","52,351",Messung,
A01, 104.5 ,Neumarkt An Der Ybbs,977,Ybbs Wieselburg - Amstetten Ost,Staatsgrenze Walserberg,Kfz,"30,086","28,359","28,892","27,539","30,175","33,446","33,891",Messung,
A01, 104.5 ,Neumarkt An Der Ybbs,977,Ybbs Wieselburg - Amstetten Ost,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,459","6,107","8,157","6,407","4,100","1,704",529,Messung,
A01, 104.5 ,Neumarkt An Der Ybbs,977,Ybbs Wieselburg - Amstetten Ost,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","25,627","22,252","20,735","21,132","26,075","31,742","33,362",Messung,
A01, 104.5 ,Neumarkt An Der Ybbs,977,Amstetten Ost - Ybbs Wieselburg,Wien/Auhof,Kfz,"25,129","26,742","22,882","26,341","30,101","24,789","19,713",Messung,
A01, 104.5 ,Neumarkt An Der Ybbs,977,Amstetten Ost - Ybbs Wieselburg,Wien/Auhof,"Kfz > 3,5t hzG","4,424","5,958","4,950","6,313","5,643","2,337",447,Messung,
A01, 104.5 ,Neumarkt An Der Ybbs,977,Amstetten Ost - Ybbs Wieselburg,Wien/Auhof,"Kfz <= 3,5t hzG","20,705","20,784","17,932","20,028","24,458","22,452","19,266",Messung,
A01, 104.5 ,Neumarkt An Der Ybbs,977,gesamt,gesamt,Kfz,"55,215","55,101","51,774","53,880","60,276","58,235","53,604",Messung,
A01, 104.5 ,Neumarkt An Der Ybbs,977,gesamt,gesamt,"Kfz > 3,5t hzG","8,883","12,065","13,107","12,720","9,743","4,041",976,Messung,
A01, 104.5 ,Neumarkt An Der Ybbs,977,gesamt,gesamt,"Kfz <= 3,5t hzG","46,332","43,036","38,667","41,160","50,533","54,194","52,628",Messung,
A01, 115.5 ,Seisenegg,983,Amstetten Ost - Amstetten West,Staatsgrenze Walserberg,Kfz,"29,286","27,619","28,137","26,812","29,406","32,760","32,803","83,9% Tage geschätzt",
A01, 115.5 ,Seisenegg,983,Amstetten Ost - Amstetten West,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,413","6,042","8,094","6,333","4,055","1,704",516,Messung,
A01, 115.5 ,Seisenegg,983,Amstetten Ost - Amstetten West,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","24,873","21,577","20,043","20,479","25,351","31,056","32,287","83,9% Tage geschätzt",
A01, 115.5 ,Seisenegg,983,Amstetten West - Amstetten Ost,Wien/Auhof,Kfz,"24,803","26,355","21,961","25,862","30,275","24,691","19,446","96,8% Tage geschätzt",
A01, 115.5 ,Seisenegg,983,Amstetten West - Amstetten Ost,Wien/Auhof,"Kfz > 3,5t hzG","4,367","5,876","4,870","6,224","5,573","2,326",448,Messung,
A01, 115.5 ,Seisenegg,983,Amstetten West - Amstetten Ost,Wien/Auhof,"Kfz <= 3,5t hzG","20,436","20,479","17,091","19,638","24,702","22,365","18,998","96,8% Tage geschätzt",
A01, 115.5 ,Seisenegg,983,gesamt,gesamt,Kfz,"54,089","53,974","50,098","52,674","59,681","57,451","52,249","96,8% Tage geschätzt",
A01, 115.5 ,Seisenegg,983,gesamt,gesamt,"Kfz > 3,5t hzG","8,780","11,918","12,964","12,557","9,628","4,030",964,Messung,
A01, 115.5 ,Seisenegg,983,gesamt,gesamt,"Kfz <= 3,5t hzG","45,309","42,056","37,134","40,117","50,053","53,421","51,285","96,8% Tage geschätzt",
A01, 127.6 ,Ludwigsdorf,439,Amstetten West - Oed,Staatsgrenze Walserberg,Kfz,"26,746","25,626","25,805","24,945","27,287","29,435","28,875",Messung,
A01, 127.6 ,Ludwigsdorf,439,Amstetten West - Oed,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,420","6,053","8,051","6,344","4,100","1,730",497,Messung,
A01, 127.6 ,Ludwigsdorf,439,Amstetten West - Oed,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","22,326","19,573","17,754","18,601","23,187","27,705","28,378",Messung,
A01, 127.6 ,Ludwigsdorf,439,Oed - Amstetten West,Wien/Auhof,Kfz,"22,238","24,175","19,738","24,022","27,236","21,610","15,876",Messung,
A01, 127.6 ,Ludwigsdorf,439,Oed - Amstetten West,Wien/Auhof,"Kfz > 3,5t hzG","4,389","5,911","4,923","6,264","5,586","2,311",448,Messung,
A01, 127.6 ,Ludwigsdorf,439,Oed - Amstetten West,Wien/Auhof,"Kfz <= 3,5t hzG","17,849","18,264","14,815","17,758","21,650","19,299","15,428",Messung,
A01, 127.6 ,Ludwigsdorf,439,gesamt,gesamt,Kfz,"48,984","49,801","45,543","48,967","54,523","51,045","44,751",Messung,
A01, 127.6 ,Ludwigsdorf,439,gesamt,gesamt,"Kfz > 3,5t hzG","8,809","11,964","12,974","12,608","9,686","4,041",945,Messung,
A01, 127.6 ,Ludwigsdorf,439,gesamt,gesamt,"Kfz <= 3,5t hzG","40,175","37,837","32,569","36,359","44,837","47,004","43,806",Messung,
A01, 132.3 ,Oed,991,Oed - Haag,Staatsgrenze Walserberg,Kfz,"29,855","28,881","29,886","28,230","29,971","31,867","31,921","100,0% Tage geschätzt",
A01, 132.3 ,Oed,991,Oed - Haag,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,548","6,232","8,226","6,529","4,262","1,759",515,Messung,
A01, 132.3 ,Oed,991,Oed - Haag,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","25,307","22,649","21,660","21,701","25,709","30,108","31,406","100,0% Tage geschätzt",
A01, 132.3 ,Oed,991,Haag - Oed,Wien/Auhof,Kfz,"25,271","27,234","22,709","26,923","30,757","24,697","18,782","51,6% Tage geschätzt",
A01, 132.3 ,Oed,991,Haag - Oed,Wien/Auhof,"Kfz > 3,5t hzG","4,514","6,085","5,133","6,449","5,711","2,322",476,Messung,
A01, 132.3 ,Oed,991,Haag - Oed,Wien/Auhof,"Kfz <= 3,5t hzG","20,757","21,149","17,576","20,474","25,046","22,375","18,306","51,6% Tage geschätzt",
A01, 132.3 ,Oed,991,gesamt,gesamt,Kfz,"55,126","56,115","52,595","55,153","60,728","56,564","50,703","100,0% Tage geschätzt",
A01, 132.3 ,Oed,991,gesamt,gesamt,"Kfz > 3,5t hzG","9,062","12,317","13,359","12,978","9,973","4,081",991,Messung,
A01, 132.3 ,Oed,991,gesamt,gesamt,"Kfz <= 3,5t hzG","46,064","43,798","39,236","42,175","50,755","52,483","49,712","100,0% Tage geschätzt",
A01, 145.9 ,Endholz,999,Haag - St. Valentin,Staatsgrenze Walserberg,Kfz,"32,493","30,982","31,955","30,122","32,636","35,926","35,490",Messung,
A01, 145.9 ,Endholz,999,Haag - St. Valentin,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,574","6,264","8,180","6,564","4,333","1,792",517,Messung,
A01, 145.9 ,Endholz,999,Haag - St. Valentin,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","27,919","24,718","23,775","23,558","28,303","34,134","34,973",Messung,
A01, 145.9 ,Endholz,999,St. Valentin - Haag,Wien/Auhof,Kfz,"27,069","29,005","24,904","28,569","32,600","26,669","20,558",Messung,
A01, 145.9 ,Endholz,999,St. Valentin - Haag,Wien/Auhof,"Kfz > 3,5t hzG","4,542","6,124","5,212","6,486","5,731","2,309",489,Messung,
A01, 145.9 ,Endholz,999,St. Valentin - Haag,Wien/Auhof,"Kfz <= 3,5t hzG","22,527","22,881","19,692","22,083","26,869","24,360","20,069",Messung,
A01, 145.9 ,Endholz,999,gesamt,gesamt,Kfz,"59,562","59,987","56,859","58,691","65,236","62,595","56,048",Messung,
A01, 145.9 ,Endholz,999,gesamt,gesamt,"Kfz > 3,5t hzG","9,116","12,388","13,392","13,050","10,064","4,101","1,006",Messung,
A01, 145.9 ,Endholz,999,gesamt,gesamt,"Kfz <= 3,5t hzG","50,446","47,599","43,467","45,641","55,172","58,494","55,042",Messung,
A01, 153.4 ,Kötting,450,St. Valentin - Enns Steyr,Staatsgrenze Walserberg,Kfz,"29,246","28,228","29,028","27,365","29,991","32,420","30,695",Messung,
A01, 153.4 ,Kötting,450,St. Valentin - Enns Steyr,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,462","6,101","7,927","6,387","4,260","1,793",507,Messung,
A01, 153.4 ,Kötting,450,St. Valentin - Enns Steyr,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","24,784","22,127","21,101","20,978","25,731","30,627","30,188",Messung,
A01, 153.4 ,Kötting,450,Enns Steyr - St. Valentin,Wien/Auhof,Kfz,"24,926","26,852","23,291","26,370","30,241","24,403","18,535",Messung,
A01, 153.4 ,Kötting,450,Enns Steyr - St. Valentin,Wien/Auhof,"Kfz > 3,5t hzG","4,442","5,981","5,090","6,328","5,616","2,290",487,Messung,
A01, 153.4 ,Kötting,450,Enns Steyr - St. Valentin,Wien/Auhof,"Kfz <= 3,5t hzG","20,484","20,871","18,201","20,042","24,625","22,113","18,048",Messung,
A01, 153.4 ,Kötting,450,gesamt,gesamt,Kfz,"54,172","55,080","52,319","53,735","60,232","56,823","49,230",Messung,
A01, 153.4 ,Kötting,450,gesamt,gesamt,"Kfz > 3,5t hzG","8,904","12,082","13,017","12,715","9,876","4,083",994,Messung,
A01, 153.4 ,Kötting,450,gesamt,gesamt,"Kfz <= 3,5t hzG","45,268","42,998","39,302","41,020","50,356","52,740","48,236",Messung,
A01, 155.7 ,ASt Steyr,978,Enns Steyr - Enns West,Staatsgrenze Walserberg,Kfz,"34,414","33,490","34,172","32,701","35,134","37,173","35,810",Messung,
A01, 155.7 ,ASt Steyr,978,Enns Steyr - Enns West,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,494","6,144","7,981","6,434","4,286","1,810",509,Messung,
A01, 155.7 ,ASt Steyr,978,Enns Steyr - Enns West,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","29,920","27,346","26,191","26,267","30,848","35,363","35,301",Messung,
